environment,policy,num_arms,num_steps,total_reward
iid,random,5,10,2.653387094443407
iid,random,5,10,1.5188954665777121
iid,random,5,10,5.916073170529889
iid,random,5,10,6.323079397007821
iid,random,5,10,4.033776374115343
iid,random,5,10,7.4199543090788245
iid,random,5,10,3.349750033306286
iid,random,5,10,5.065691701158847
iid,random,5,10,3.3641955764345775
iid,random,5,10,4.427328214241466
iid,random,5,10,4.754357786563157
iid,random,5,10,4.247840029339766
iid,random,5,10,4.142916420534006
iid,random,5,10,5.562988454693117
iid,random,5,10,3.926313892998807
iid,random,5,10,4.290048540484119
iid,random,5,10,6.572712336932779
iid,random,5,10,5.60280455996133
iid,random,5,10,3.843880897717936
iid,random,5,10,5.8882614596298515
iid,random,5,10,2.008792448716355
iid,random,5,10,3.149840476934597
iid,random,5,10,6.011683679466669
iid,random,5,10,4.581927431693934
iid,random,5,10,5.255387862227259
iid,random,5,10,5.451759745089471
iid,random,5,10,4.637764113522948
iid,random,5,10,5.518769601311079
iid,random,5,10,5.178055969271848
iid,random,5,10,6.205756824374183
iid,random,5,10,4.798115512833247
iid,random,5,10,5.79222672038941
iid,random,5,10,5.63862443666353
iid,random,5,10,3.9963155870187443
iid,random,5,10,2.0321975540814936
iid,random,5,10,3.5666734946540877
iid,random,5,10,3.608022967627343
iid,random,5,10,2.184914332657381
iid,random,5,10,3.6398753248921354
iid,random,5,10,5.989026951186149
iid,random,5,10,3.7399832260742265
iid,random,5,10,5.4997067571505545
iid,random,5,10,6.8466698269732085
iid,random,5,10,4.190958907328347
iid,random,5,10,2.959564853109927
iid,random,5,10,5.380319822669801
iid,random,5,10,3.975792616832346
iid,random,5,10,5.906224635713841
iid,random,5,10,4.727741442217967
iid,random,5,10,2.474744677279297
iid,random,5,10,4.689300375693693
iid,random,5,10,6.431443932804705
iid,random,5,10,4.764562593434054
iid,random,5,10,4.928245377674347
iid,random,5,10,3.986726546334889
iid,random,5,10,4.742242570768113
iid,random,5,10,5.7883346856176034
iid,random,5,10,2.53754263557935
iid,random,5,10,5.438937086651954
iid,random,5,10,4.549764999964496
iid,random,5,10,5.30551712239904
iid,random,5,10,3.784744734630909
iid,random,5,10,5.80601750631166
iid,random,5,10,4.401286086174799
iid,random,5,10,4.74620536874315
iid,random,5,10,5.770262974916349
iid,random,5,10,2.5148531997631554
iid,random,5,10,4.221829770618877
iid,random,5,10,1.945803764536755
iid,random,5,10,6.580214383282645
iid,random,5,10,3.1179892541968197
iid,random,5,10,1.3210677339559544
iid,random,5,10,4.433270221820931
iid,random,5,10,4.0219410444008385
iid,random,5,10,4.261975960996768
iid,random,5,10,1.9286439551815338
iid,random,5,10,5.262080331204106
iid,random,5,10,2.1852536110784904
iid,random,5,10,4.843422040131619
iid,random,5,10,5.179518481338845
iid,random,5,10,6.006900150493385
